Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night,Phone,Address,Password,Fee_Status,Borrowed_Books,Exam_Schedule,Timetable,Courses_Enrolled,Course_Materials,CGPA_Progress,Notifications
S1000,Omar,Williams,student0@university.com,Female,22,Mathematics,97.36,40.61,59.61,73.69,53.17,73.4,62.84,59.8865,F,10.3,Yes,No,Master's,Medium,1,5.9,07104332181,"122 Church Lane, Bristol",omar498,Paid,None,Practical - 2026-09-15,"Mon: Calculus 10am, Tue: Algebra 1pm, Thu: Statistics 9am","Calculus, Linear Algebra, Statistics, Discrete Math","Calculus, Linear Algebra, Statistics, Discrete Math","2.41, 3.55",None
S1001,Maria,Brown,student1@university.com,Male,18,Business,97.71,57.27,74.0,74.23,98.23,88.0,98.23,81.917,B,27.1,No,No,High School,Low,4,4.3,07960013389,"56 Main Road, Birmingham",maria348,Pending,"Database Systems, Data Structures, Linear Algebra","Practical - 2026-09-15, Midterm - 2026-08-10","Mon: Marketing 10am, Wed: Finance 1pm, Fri: Management 9am","Marketing, Finance, Management, Economics","Marketing, Finance, Management, Economics","3.46, 2.49","Assignment deadline tomorrow, Library book due"
S1002,Ahmed,Jones,student2@university.com,Male,24,Engineering,99.52,41.84,63.85,85.85,50.0,4.699999999999999,91.22,67.717,D,12.4,Yes,No,High School,Low,9,6.1,07083863794,"117 High Street, Sheffield",ahmed184,Paid,None,"Practical - 2026-09-15, Final - 2026-11-20, Midterm - 2026-08-10","Mon: Design 9am, Tue: Thermodynamics 11am, Thu: Workshop 2pm","Design, Thermodynamics, Fluid Mechanics, Materials","Design, Thermodynamics, Fluid Mechanics, Materials","2.61, 2.84",Exam schedule released
S1003,Omar,Williams,student3@university.com,Female,24,Engineering,90.38,45.65,44.44,68.1,66.27,4.2,55.48,51.6535,F,25.5,No,Yes,High School,Low,8,4.9,07026542351,"65 Mill Road, London",omar245,Pending,None,"Practical - 2026-09-15, Midterm - 2026-08-10","Mon: Design 9am, Tue: Thermodynamics 11am, Thu: Workshop 2pm","Design, Thermodynamics, Fluid Mechanics, Materials","Design, Thermodynamics, Fluid Mechanics, Materials","3.96, 3.67, 3.9, 3.46",Assignment deadline tomorrow
S1004,John,Smith,student4@university.com,Female,23,CS,59.41,53.13,61.77,67.66,83.98,64.3,87.43,71.403,C,13.3,Yes,No,Master's,Medium,6,4.5,07161559407,"17 Queen Street, Liverpool",john845,Pending,None,"Midterm - 2026-08-10, Practical - 2026-09-15, Final - 2026-11-20","Mon: Programming 9am, Wed: Data Structures 11am, Fri: Networks 2pm","Programming, Data Structures, Algorithms, Networks","Programming, Data Structures, Algorithms, Networks","3.63, 3.15",None
S1005,Liam,Brown,student5@university.com,Male,21,Mathematics,60.6,70.21,64.48,87.85,52.26,54.8,67.65,68.09,D,25.3,Yes,No,,Medium,6,5.6,07816184959,"41 Main Road, Leeds",liam642,Pending,"Algorithms Design, Computer Networks",Final - 2026-11-20,"Mon: Calculus 10am, Tue: Algebra 1pm, Thu: Statistics 9am","Calculus, Linear Algebra, Statistics, Discrete Math","Calculus, Linear Algebra, Statistics, Discrete Math",3.58,Attendance warning
S1006,Ahmed,Jones,student6@university.com,Male,24,Business,67.01,90.85,93.74,89.0,54.17,15.5,87.51,82.8575,B,22.1,Yes,No,Bachelor's,High,2,4.0,07310341316,"69 Station Road, Manchester",ahmed800,Pending,"Calculus Vol 1, Algorithms Design, Data Structures","Midterm - 2026-08-10, Final - 2026-11-20, Practical - 2026-09-15","Mon: Marketing 10am, Wed: Finance 1pm, Fri: Management 9am","Marketing, Finance, Management, Economics","Marketing, Finance, Management, Economics","3.42, 2.42, 3.82","Library book due, Assignment deadline tomorrow"
S1007,Ahmed,Smith,student7@university.com,Male,19,Engineering,65.91,91.72,59.47,50.72,53.83,54.8,90.04,71.36850000000001,C,16.7,Yes,Yes,,Low,5,7.8,07475255341,"102 Church Lane, Liverpool",ahmed386,Paid,None,"Midterm - 2026-08-10, Practical - 2026-09-15, Final - 2026-11-20","Mon: Design 9am, Tue: Thermodynamics 11am, Thu: Workshop 2pm","Design, Thermodynamics, Fluid Mechanics, Materials","Design, Thermodynamics, Fluid Mechanics, Materials","2.24, 3.38, 2.76",None
S1008,Omar,Smith,student8@university.com,Female,21,CS,97.83,76.97,62.75,57.19,79.08,97.4,57.57,65.8605,D,18.1,No,Yes,PhD,High,9,4.8,07928327648,"20 Mill Road, Birmingham",omar915,Paid,"Statistics Fundamentals, Operating Systems, Introduction to Python","Midterm - 2026-08-10, Final - 2026-11-20","Mon: Programming 9am, Wed: Data Structures 11am, Fri: Networks 2pm","Programming, Data Structures, Algorithms, Networks","Programming, Data Structures, Algorithms, Networks",2.42,"Library book due, Fee due next week"
S1009,Sara,Smith,student9@university.com,Female,22,Business,89.45,95.69,86.97,60.65,94.8,63.1,83.09,82.75550000000001,B,9.4,Yes,No,,High,8,7.1,07350305641,"111 Mill Road, Leeds",sara243,Paid,Data Structures,"Practical - 2026-09-15, Final - 2026-11-20, Midterm - 2026-08-10","Mon: Marketing 10am, Wed: Finance 1pm, Fri: Management 9am","Marketing, Finance, Management, Economics","Marketing, Finance, Management, Economics","2.33, 2.13",Exam schedule released
